Brand,Model,Launch Year,Segment,Fuel Type,Variants,Ex-Showroom Price (₹ Lakhs),Monthly Sales (Units),Is EV?,Battery / Mileage,Notable Features
Citroen,C3,2020,Sedan,Petrol,21,6.00 - 15.00,13303,No,22.4 kmpl,"360 Camera, Hill Hold, TPMS, ADAS, Touchscreen, Leather Seats, Power Windows, Sunroof, AC, Apple CarPlay"
Toyota,Urban Cruiser,2022,Hatchback,Petrol,23,3.50 - 8.50,15334,No,24.4 kmpl,"Airbags, 360 Camera, TPMS, ADAS, Leather Seats, Power Windows, Cruise Control, Voice Control, Wireless Charging"
Tata,Tiago,2016,Electric Hatchback,Petrol/CNG,21,6.00 - 12.00,4431,No,21.6 kmpl,"ABS, Airbags, Sunroof, Touchscreen, AC, HUD, Wireless Charging"
Toyota,Camry,2023,Hatchback,Petrol/CNG,2,3.50 - 8.50,16105,No,20.5 kmpl,"ABS, 360 Camera, TPMS, Hill Hold, Ventilated Seats, Leather Seats, Sunroof, Wireless Charging, Voice Control"
Toyota,Fortuner,2020,Electric SUV,Petrol,4,12.00 - 25.00,2633,No,23.1 kmpl,"TPMS, EBD, Leather Seats, Ventilated Seats, Sunroof, Touchscreen, AC, Wireless Charging, Voice Control"
Toyota,Hilux,2016,Luxury,Petrol,7,30.00 - 100.00,552,No,16.5 kmpl,"ABS, ADAS, Ventilated Seats, Touchscreen, Power Windows, Cruise Control, Sunroof, Connected Car"
Lexus,RX,2022,Hatchback,Petrol,12,3.50 - 8.50,13173,No,19.0 kmpl,"ESC, EBD, ADAS, Sunroof, Ventilated Seats, Leather Seats, Power Windows, Touchscreen, Connected Car, Android Auto, HUD"
MG,Gloster,2022,SUV,Petrol,15,10.00 - 30.00,6261,No,15.2 kmpl,"360 Camera, TPMS, Touchscreen, Sunroof, Power Windows, Connected Car"
Tata,Tiago,2019,Hatchback,Petrol,16,3.50 - 8.50,17447,No,23.9 kmpl,"Hill Hold, ESC, Leather Seats, Sunroof, AC, Power Windows, Ventilated Seats, HUD, Apple CarPlay, Voice Control"
Citroen,C5 Aircross,2017,MPV,Petrol/CNG,5,8.00 - 20.00,3021,No,25.5 kmpl,"EBD, Hill Hold, ADAS, ESC, AC, Leather Seats, Ventilated Seats, Power Windows, Connected Car, Android Auto"
Citroen,C5 Aircross,2020,Hatchback,Diesel,21,3.50 - 8.50,9500,No,27.7 kmpl,"TPMS, EBD, Hill Hold, Cruise Control, Leather Seats, Sunroof, Apple CarPlay, Wireless Charging"
Force,Gurkha,2022,Compact SUV,Petrol,8,7.00 - 18.00,6978,No,22.5 kmpl,"ADAS, Hill Hold, Leather Seats, AC, Sunroof, Cruise Control, Android Auto"
Tata,Tigor,2019,Sedan,Diesel,23,6.00 - 15.00,7011,No,23.4 kmpl,"ABS, Airbags, 360 Camera, Leather Seats, Sunroof, Power Windows, AC, Touchscreen, Connected Car, Wireless Charging"
Hyundai,Exter,2019,Compact SUV,Petrol,5,7.00 - 18.00,12404,No,24.4 kmpl,"ESC, 360 Camera, Power Windows, Leather Seats, Cruise Control, Android Auto"
MG,Hector,2021,Electric Hatchback,Petrol,25,6.00 - 12.00,2780,No,15.4 kmpl,"Airbags, ADAS, TPMS, ESC, Ventilated Seats, Sunroof, Touchscreen, Cruise Control, Leather Seats, Voice Control, Android Auto, Connected Car"
Audi,Q3,2015,SUV,Petrol,4,10.00 - 30.00,6591,No,24.7 kmpl,"ADAS, ESC, ABS, Sunroof, Power Windows, Ventilated Seats, Connected Car"
Hyundai,Exter,2021,SUV,Diesel,3,10.00 - 30.00,6640,No,24.1 kmpl,"ABS, 360 Camera, Cruise Control, Leather Seats, Ventilated Seats, Wireless Charging, Android Auto"
Honda,WR-V,2022,SUV,Petrol,8,10.00 - 30.00,2537,No,16.7 kmpl,"Airbags, Hill Hold, Ventilated Seats, AC, Sunroof, Cruise Control, Touchscreen, Voice Control, Android Auto, HUD"
BYD,Atto 3,2015,Sedan,Electric,11,7.20 - 19.50,7497,Yes,261 km range,"TPMS, 360 Camera, Cruise Control, Sunroof, Leather Seats, AC, Power Windows, Connected Car"
Skoda,Slavia,2021,Compact SUV,Petrol,10,7.00 - 18.00,7090,No,17.0 kmpl,"Airbags, ESC, ABS, TPMS, Sunroof, Cruise Control, Power Windows, Ventilated Seats, Touchscreen, Connected Car, HUD"
Jeep,Meridian,2015,Hatchback,Petrol,15,3.50 - 8.50,12584,No,22.4 kmpl,"TPMS, ADAS, ABS, EBD, Leather Seats, Sunroof, Cruise Control, Touchscreen, AC, Android Auto, Apple CarPlay, Wireless Charging"
Citroen,C3,2017,SUV,Petrol/Diesel,18,10.00 - 30.00,7049,No,15.7 kmpl,"360 Camera, TPMS, EBD, Power Windows, Ventilated Seats, Leather Seats, Voice Control, Wireless Charging, Android Auto"
MG,ZS EV,2015,Hatchback,Petrol/CNG,15,3.50 - 8.50,18033,No,25.9 kmpl,"ABS, ADAS, Cruise Control, AC, Touchscreen, Voice Control, HUD, Connected Car"
MG,ZS EV,2017,Electric SUV,Petrol,3,12.00 - 25.00,1107,No,23.3 kmpl,"ADAS, Hill Hold, Airbags, Power Windows, Cruise Control, Sunroof, AC, Ventilated Seats, Voice Control, Android Auto, Wireless Charging"
Nissan,Kicks,2020,Sedan,Diesel,8,6.00 - 15.00,8843,No,19.5 kmpl,"EBD, ESC, ABS, Sunroof, Power Windows, AC, Cruise Control, HUD, Apple CarPlay"
Tata,Nexon,2016,MPV,Petrol,12,8.00 - 20.00,3120,No,15.8 kmpl,"Airbags, TPMS, Power Windows, Leather Seats, Cruise Control, Sunroof, Wireless Charging, HUD, Voice Control"
Force,Gurkha,2020,SUV,Petrol,1,10.00 - 30.00,3411,No,18.2 kmpl,"EBD, ADAS, Hill Hold, Airbags, Ventilated Seats, AC, Touchscreen, Cruise Control, HUD"
Volkswagen,Virtus,2020,SUV,Diesel,12,10.00 - 30.00,3420,No,27.2 kmpl,"ABS, ESC, ADAS, EBD, Sunroof, Leather Seats, Cruise Control, Touchscreen, Ventilated Seats, Voice Control"
BYD,E6,2016,Hatchback,Petrol,23,3.50 - 8.50,14532,No,15.7 kmpl,"360 Camera, ESC, TPMS, AC, Sunroof, Power Windows, Ventilated Seats, HUD, Apple CarPlay, Wireless Charging"
MG,Astor,2020,SUV,Petrol,14,10.00 - 30.00,6775,No,16.7 kmpl,"EBD, ADAS, ABS, Touchscreen, AC, Sunroof, Wireless Charging, Connected Car"
Renault,Kiger,2016,Hatchback,Petrol/CNG,13,3.50 - 8.50,13369,No,28.0 kmpl,"ABS, ADAS, AC, Ventilated Seats, Leather Seats, Power Windows, Cruise Control, Voice Control, Connected Car, Wireless Charging"
MG,Hector,2020,Hatchback,Diesel,8,3.50 - 8.50,8742,No,24.3 kmpl,"TPMS, ABS, Touchscreen, Leather Seats, Cruise Control, Ventilated Seats, HUD"
Tata,Nexon,2020,Hatchback,Petrol,9,3.50 - 8.50,8646,No,22.5 kmpl,"ADAS, EBD, 360 Camera, ESC, Sunroof, Touchscreen, AC, Leather Seats, Ventilated Seats, Voice Control, HUD"
Jeep,Meridian,2018,Compact SUV,Petrol/CNG,10,7.00 - 18.00,10939,No,29.5 kmpl,"ABS, ADAS, Hill Hold, 360 Camera, Ventilated Seats, Cruise Control, Sunroof, Power Windows, HUD, Connected Car, Apple CarPlay"
Audi,A4,2015,Hatchback,Petrol,12,3.50 - 8.50,11687,No,24.3 kmpl,"ESC, TPMS, Hill Hold, Leather Seats, Cruise Control, Touchscreen, Android Auto, Apple CarPlay"
Kia,Sonet,2022,Compact SUV,Petrol,21,7.00 - 18.00,11406,No,20.6 kmpl,"TPMS, ESC, ADAS, EBD, Leather Seats, Ventilated Seats, AC, Power Windows, Connected Car"
Mercedes,GLA,2015,Sedan,Petrol,5,6.00 - 15.00,12314,No,17.7 kmpl,"ADAS, 360 Camera, EBD, AC, Ventilated Seats, Sunroof, Cruise Control, Power Windows, Android Auto"
Mercedes,A-Class,2019,Hatchback,Diesel,23,3.50 - 8.50,13705,No,19.3 kmpl,"ADAS, TPMS, EBD, ESC, Sunroof, Touchscreen, Cruise Control, Leather Seats, Power Windows, HUD"
Volkswagen,Polo,2022,Hatchback,Diesel,2,3.50 - 8.50,12267,No,27.0 kmpl,"Airbags, ADAS, EBD, ESC, AC, Touchscreen, Power Windows, Android Auto, HUD, Wireless Charging"
Hyundai,Alcazar,2022,Electric SUV,Electric,7,14.40 - 32.50,1532,Yes,266 km range,"Hill Hold, ADAS, TPMS, Power Windows, Leather Seats, Ventilated Seats, HUD, Wireless Charging"
BMW,3 Series,2019,SUV,Petrol/CNG,11,10.00 - 30.00,4198,No,24.7 kmpl,"360 Camera, TPMS, ADAS, EBD, Cruise Control, Touchscreen, Ventilated Seats, Voice Control, Apple CarPlay"
Audi,A4,2015,Compact SUV,Petrol,8,7.00 - 18.00,14358,No,20.0 kmpl,"EBD, Airbags, TPMS, ABS, Touchscreen, Leather Seats, Ventilated Seats, AC, Android Auto, Connected Car"
MG,ZS EV,2015,SUV,Petrol/CNG,5,10.00 - 30.00,5476,No,29.8 kmpl,"ABS, EBD, 360 Camera, AC, Touchscreen, Power Windows, Leather Seats, Sunroof, Voice Control"
Maruti Suzuki,Ertiga,2016,Electric Hatchback,Petrol,18,6.00 - 12.00,3015,No,16.5 kmpl,"360 Camera, Hill Hold, AC, Ventilated Seats, Power Windows, HUD, Wireless Charging"
Mercedes,GLA,2020,Sedan,Petrol,2,6.00 - 15.00,10568,No,21.0 kmpl,"Hill Hold, TPMS, ABS, Leather Seats, Cruise Control, AC, Sunroof, Power Windows, Android Auto"
BMW,X1,2016,Compact SUV,Petrol,7,7.00 - 18.00,14113,No,20.3 kmpl,"ESC, Airbags, ADAS, TPMS, Power Windows, AC, Ventilated Seats, Leather Seats, Cruise Control, Wireless Charging"
Toyota,Fortuner,2021,Compact SUV,Petrol/CNG,6,7.00 - 18.00,8956,No,23.7 kmpl,"360 Camera, Airbags, ADAS, Ventilated Seats, Cruise Control, AC, Power Windows, Sunroof, HUD, Voice Control, Wireless Charging"
Mahindra,Marazzo,2018,Electric SUV,Petrol,24,12.00 - 25.00,2411,No,24.1 kmpl,"EBD, ADAS, 360 Camera, ABS, Cruise Control, Touchscreen, Leather Seats, AC, Wireless Charging"
Mahindra,XUV 700,2017,Hatchback,Petrol,25,3.50 - 8.50,10315,No,21.5 kmpl,"ABS, 360 Camera, TPMS, EBD, Power Windows, Touchscreen, Cruise Control, Ventilated Seats, HUD, Apple CarPlay"
Mahindra,Bolero,2021,SUV,Petrol,8,10.00 - 30.00,3615,No,19.5 kmpl,"ABS, ADAS, EBD, 360 Camera, Sunroof, Ventilated Seats, Leather Seats, Power Windows, Apple CarPlay, Android Auto"
Lexus,ES,2023,SUV,Petrol,14,10.00 - 30.00,3867,No,16.0 kmpl,"TPMS, ABS, ADAS, Ventilated Seats, AC, Leather Seats, Android Auto, Wireless Charging"
MG,ZS EV,2023,Sedan,Petrol,18,6.00 - 15.00,9849,No,20.7 kmpl,"360 Camera, EBD, Leather Seats, AC, Sunroof, Power Windows, Touchscreen, Android Auto"
MG,Comet EV,2017,Sedan,Electric,25,7.20 - 19.50,10082,Yes,375 km range,"TPMS, ADAS, ESC, Ventilated Seats, Sunroof, Leather Seats, AC, Touchscreen, Wireless Charging"
Honda,Elevate,2022,SUV,Petrol,8,10.00 - 30.00,2646,No,17.2 kmpl,"EBD, Hill Hold, Airbags, Sunroof, Ventilated Seats, Cruise Control, Voice Control"
Maruti Suzuki,Ertiga,2016,Hatchback,Diesel,9,3.50 - 8.50,15961,No,24.6 kmpl,"ADAS, ESC, ABS, 360 Camera, Leather Seats, Cruise Control, Power Windows, Ventilated Seats, Android Auto, Connected Car"
Tata,Harrier,2019,SUV,Petrol,14,10.00 - 30.00,6314,No,16.4 kmpl,"ADAS, ABS, Hill Hold, Power Windows, Touchscreen, Ventilated Seats, Leather Seats, Apple CarPlay"
BYD,E6,2016,SUV,Petrol,4,10.00 - 30.00,6782,No,18.6 kmpl,"360 Camera, Airbags, Hill Hold, ADAS, Ventilated Seats, Sunroof, Cruise Control, HUD, Apple CarPlay, Wireless Charging"
Citroen,C5 Aircross,2021,Compact SUV,Diesel,9,7.00 - 18.00,12711,No,24.5 kmpl,"ESC, 360 Camera, EBD, Airbags, Power Windows, Touchscreen, Leather Seats, Wireless Charging"
Lexus,NX,2020,Compact SUV,Diesel,20,7.00 - 18.00,9628,No,23.4 kmpl,"360 Camera, Hill Hold, TPMS, Power Windows, AC, Leather Seats, Apple CarPlay, Connected Car"
Kia,Carens,2022,Hatchback,Electric,25,4.20 - 11.05,14760,Yes,258 km range,"EBD, 360 Camera, Airbags, Touchscreen, Ventilated Seats, Cruise Control, AC, Sunroof, Voice Control, Android Auto, Apple CarPlay"
Honda,Elevate,2017,Hatchback,Petrol,6,3.50 - 8.50,11847,No,24.5 kmpl,"ABS, ADAS, Airbags, EBD, AC, Sunroof, Leather Seats, Power Windows, Voice Control, Wireless Charging"
BMW,2 Series,2021,Hatchback,Petrol,7,3.50 - 8.50,17984,No,24.8 kmpl,"ESC, Airbags, Ventilated Seats, AC, Sunroof, HUD, Apple CarPlay, Android Auto"
Mahindra,Bolero,2022,Sedan,Petrol,11,6.00 - 15.00,8482,No,19.7 kmpl,"TPMS, ABS, AC, Sunroof, Cruise Control, Leather Seats, Ventilated Seats, Wireless Charging"
Jeep,Compass,2020,Compact SUV,Petrol,4,7.00 - 18.00,12480,No,24.8 kmpl,"EBD, ADAS, Power Windows, Sunroof, Ventilated Seats, Voice Control"
Kia,Sonet,2015,Luxury,Petrol,21,30.00 - 100.00,340,No,23.7 kmpl,"TPMS, ESC, AC, Leather Seats, Power Windows, Sunroof, HUD, Connected Car, Wireless Charging"
Renault,Triber,2017,Electric SUV,Petrol,2,12.00 - 25.00,2357,No,23.3 kmpl,"360 Camera, EBD, ESC, Ventilated Seats, AC, Leather Seats, Apple CarPlay"
Mahindra,Marazzo,2022,Luxury,Diesel,2,30.00 - 100.00,203,No,26.3 kmpl,"EBD, Airbags, Cruise Control, Ventilated Seats, AC, Sunroof, Connected Car, Apple CarPlay"
Jeep,Compass,2020,Hatchback,Petrol,8,3.50 - 8.50,10489,No,19.4 kmpl,"ADAS, Hill Hold, EBD, Leather Seats, Sunroof, Power Windows, Touchscreen, Apple CarPlay, Voice Control"
Citroen,C5 Aircross,2021,Compact SUV,Petrol,25,7.00 - 18.00,12796,No,15.8 kmpl,"Hill Hold, ABS, 360 Camera, Power Windows, Sunroof, Touchscreen, Voice Control, Connected Car, HUD"
Renault,Triber,2018,Hatchback,Diesel,9,3.50 - 8.50,8758,No,22.9 kmpl,"Airbags, Hill Hold, ADAS, Power Windows, Ventilated Seats, Cruise Control, Touchscreen, Sunroof, Voice Control"
Kia,Seltos,2021,Hatchback,Petrol,4,3.50 - 8.50,10354,No,17.6 kmpl,"360 Camera, Hill Hold, Power Windows, Touchscreen, AC, Cruise Control, Apple CarPlay, HUD, Android Auto"
Mercedes,A-Class,2021,SUV,Diesel,6,10.00 - 30.00,4579,No,23.3 kmpl,"Hill Hold, Airbags, ADAS, EBD, Touchscreen, Cruise Control, Sunroof, Leather Seats, Voice Control"
Audi,Q5,2016,Sedan,Diesel,16,6.00 - 15.00,8113,No,19.3 kmpl,"Hill Hold, 360 Camera, Sunroof, Leather Seats, AC, Touchscreen, Apple CarPlay, HUD, Connected Car"
Maruti Suzuki,Baleno,2017,Electric SUV,Diesel,9,12.00 - 25.00,3634,No,25.4 kmpl,"ADAS, Hill Hold, Ventilated Seats, Power Windows, Sunroof, AC, Leather Seats, Android Auto"
Citroen,C5 Aircross,2018,Sedan,Petrol,17,6.00 - 15.00,8006,No,23.5 kmpl,"Airbags, ESC, TPMS, Hill Hold, AC, Sunroof, Touchscreen, Cruise Control, Connected Car, Voice Control, HUD"
Skoda,Kushaq,2019,SUV,Diesel,5,10.00 - 30.00,5207,No,19.7 kmpl,"Hill Hold, Airbags, Touchscreen, AC, Power Windows, Ventilated Seats, Cruise Control, Voice Control, Wireless Charging, Android Auto"
Volkswagen,Polo,2015,Sedan,Diesel,4,6.00 - 15.00,4771,No,19.9 kmpl,"ESC, Airbags, EBD, ADAS, Touchscreen, AC, Leather Seats, Ventilated Seats, HUD"
Toyota,Innova,2018,Sedan,Electric,5,7.20 - 19.50,12079,Yes,428 km range,"ADAS, TPMS, Sunroof, AC, Touchscreen, Ventilated Seats, Apple CarPlay"
Maruti Suzuki,Fronx,2020,Electric SUV,Petrol/CNG,14,12.00 - 25.00,3895,No,28.4 kmpl,"TPMS, EBD, 360 Camera, Sunroof, AC, Ventilated Seats, Touchscreen, Power Windows, Wireless Charging"
Hyundai,Exter,2022,Hatchback,Diesel,13,3.50 - 8.50,8181,No,21.8 kmpl,"ABS, EBD, Cruise Control, Leather Seats, Ventilated Seats, HUD, Wireless Charging, Voice Control"
Honda,WR-V,2023,SUV,Petrol,16,10.00 - 30.00,5510,No,22.2 kmpl,"360 Camera, EBD, ADAS, Cruise Control, Leather Seats, Power Windows, Voice Control, HUD, Wireless Charging"
Volkswagen,Virtus,2020,Hatchback,Petrol,23,3.50 - 8.50,8021,No,18.2 kmpl,"TPMS, Airbags, EBD, Touchscreen, Ventilated Seats, Sunroof, Power Windows, AC, Connected Car, Wireless Charging"
Volkswagen,Polo,2023,Compact SUV,Diesel,8,7.00 - 18.00,13254,No,18.3 kmpl,"ADAS, TPMS, Ventilated Seats, Cruise Control, AC, Sunroof, Apple CarPlay"
Volkswagen,Virtus,2015,Sedan,Petrol,20,6.00 - 15.00,12598,No,15.1 kmpl,"ABS, EBD, TPMS, Ventilated Seats, Sunroof, AC, Power Windows, Touchscreen, HUD"
BYD,Atto 3,2017,Compact SUV,Petrol,10,7.00 - 18.00,11644,No,18.4 kmpl,"ABS, EBD, Power Windows, Ventilated Seats, Sunroof, Voice Control, Wireless Charging, HUD"
Kia,Seltos,2017,Electric SUV,Petrol,21,12.00 - 25.00,1911,No,18.2 kmpl,"ABS, EBD, Touchscreen, Leather Seats, Sunroof, Connected Car"
Renault,Kwid,2021,Compact SUV,Petrol,19,7.00 - 18.00,12698,No,22.2 kmpl,"ESC, EBD, TPMS, ADAS, Touchscreen, Leather Seats, Ventilated Seats, AC, Wireless Charging"
Mercedes,C-Class,2015,MPV,Petrol/CNG,2,8.00 - 20.00,6369,No,28.7 kmpl,"Hill Hold, TPMS, 360 Camera, ESC, Ventilated Seats, Sunroof, Cruise Control, Power Windows, Leather Seats, HUD"
Toyota,Urban Cruiser,2023,Compact SUV,Diesel,24,7.00 - 18.00,9801,No,18.5 kmpl,"ESC, ABS, Hill Hold, 360 Camera, Ventilated Seats, AC, Sunroof, HUD"
Lexus,RX,2023,Hatchback,Diesel,11,3.50 - 8.50,18388,No,22.9 kmpl,"Hill Hold, EBD, Ventilated Seats, Leather Seats, Cruise Control, AC, Touchscreen, HUD"
Jeep,Meridian,2019,Luxury,Petrol,17,30.00 - 100.00,314,No,20.1 kmpl,"ADAS, TPMS, ESC, EBD, AC, Sunroof, Leather Seats, Cruise Control, Touchscreen, Android Auto, Connected Car"
Audi,A4,2021,SUV,Petrol,14,10.00 - 30.00,5667,No,17.1 kmpl,"ADAS, ABS, Hill Hold, Sunroof, Cruise Control, AC, Android Auto, Wireless Charging"
Toyota,Fortuner,2015,Hatchback,Petrol,22,3.50 - 8.50,16300,No,16.7 kmpl,"Airbags, TPMS, ESC, ADAS, Sunroof, AC, Touchscreen, Power Windows, Wireless Charging, Connected Car"
Renault,Kwid,2015,Hatchback,Diesel,7,3.50 - 8.50,14115,No,19.1 kmpl,"ADAS, EBD, ESC, 360 Camera, Ventilated Seats, Cruise Control, Touchscreen, AC, Connected Car"
Mercedes,A-Class,2015,Sedan,Electric,8,7.20 - 19.50,10142,Yes,386 km range,"Hill Hold, Airbags, TPMS, ABS, Leather Seats, Power Windows, Cruise Control, Sunroof, Apple CarPlay, HUD, Connected Car"
Honda,City,2020,SUV,Diesel,6,10.00 - 30.00,6518,No,19.3 kmpl,"ADAS, EBD, Airbags, Ventilated Seats, Sunroof, AC, Voice Control, Apple CarPlay, Wireless Charging"
Toyota,Fortuner,2016,Electric Hatchback,Diesel,8,6.00 - 12.00,1242,No,26.1 kmpl,"Airbags, Hill Hold, Ventilated Seats, Leather Seats, AC, Touchscreen, Voice Control, Android Auto"
BMW,X1,2016,Hatchback,Petrol/CNG,7,3.50 - 8.50,13212,No,25.6 kmpl,"ESC, Hill Hold, 360 Camera, Sunroof, Touchscreen, Leather Seats, AC, Voice Control"
Toyota,Camry,2022,Sedan,Petrol,19,6.00 - 15.00,6175,No,24.0 kmpl,"TPMS, ESC, ADAS, EBD, Touchscreen, AC, Power Windows, Sunroof, Cruise Control, Voice Control, HUD"
BMW,2 Series,2021,Compact SUV,Diesel,6,7.00 - 18.00,9187,No,22.5 kmpl,"ABS, ADAS, TPMS, Sunroof, Ventilated Seats, Cruise Control, Power Windows, AC, Connected Car, Apple CarPlay, Wireless Charging"
Mercedes,A-Class,2018,Electric SUV,Petrol/Diesel,21,12.00 - 25.00,3147,No,16.8 kmpl,"ABS, ESC, Ventilated Seats, AC, Touchscreen, Cruise Control, Android Auto, Apple CarPlay"
Hyundai,Verna,2020,Compact SUV,Diesel,17,7.00 - 18.00,7304,No,26.4 kmpl,"360 Camera, ESC, EBD, Leather Seats, AC, Cruise Control, Power Windows, Touchscreen, Apple CarPlay, Connected Car, HUD"
BMW,2 Series,2020,Electric Hatchback,Diesel,9,6.00 - 12.00,1331,No,26.7 kmpl,"ESC, 360 Camera, Hill Hold, AC, Cruise Control, Touchscreen, Sunroof, Leather Seats, Wireless Charging"
